First_Name,Last_Name,Address,Email,DOB,Ethnicity,Education
Jerry,Zurcher,77 Massillon Rd #822,jzurcher@zurcher.org,6/10/1963,Asian,High School
Orville,Zuehl,907 Denman St,orville_zuehl@zuehl.co.uk,10/27/1965,Native American,Master's
Rosalia,Ziv,9362 Solomon St #97,rosalia.ziv@ziv.co.uk,11/24/1968,Black,Doctorate
Evan,Zigomalas,5 Binney St,evan.zigomalas@gmail.com,6/2/1961,Black,Master's
Vincenza,Zepp,395 S 6th St #2,vzepp@gmail.com,9/19/1988,Native American,Associate
Selene,Zeng,2 Prince Rupert St,selene@yahoo.com,11/17/1973,Black,Doctorate
German,Zelaya,7 Shenstone St,german@hotmail.com,10/12/1970,Unknown,Bachelor's
Sheridan,Zane,2409 Alabama Rd,sheridan.zane@zane.com,12/30/1961,White,Associate
Serina,Zagen,7 S Beverly Dr,szagen@aol.com,12/28/1961,Unknown,Master's
Cheryll,Yurich,666 Moor Place,cheryll_yurich@yurich.co.uk,4/5/1964,Black,Doctorate
Dierdre,Yum,63381 Jenks Ave,dyum@yahoo.com,8/18/1980,Unknown,Doctorate
Walton,Yuki,9 Waltham Rd,wyuki@gmail.com,1/24/1971,Native American,Associate
Tamra,Yu,2 Park Rd Walton #4338,tamra.yu@hotmail.com,3/22/1993,Unknown,Doctorate
Shawnda,Yori,50126 N Plankinton Ave,shawnda.yori@yahoo.com,9/19/1971,Asian,High School
Maurine,Yglesias,59 Shady Ln #53,maurine_yglesias@yglesias.com,12/3/1996,Asian,Bachelor's
Audry,Yaw,70295 Pioneer Ct,audry.yaw@yaw.org,6/19/1990,White,Doctorate
Nina,Yaklin,5679 Gloucester Pl,nyaklin@hotmail.com,7/31/1996,Asian,Associate
Vallie,Yafaie,352 Strathmore Rd,vyafaie@hotmail.com,4/23/1964,Black,Bachelor's
Lindsay,Yadao,7 Jolliffe St,lindsay_yadao@yadao.co.uk,12/24/1975,Unknown,High School
